sample	gisaid_epi_isl	genbank_accession
Canada/SK-NML-55495/2021	EPI_ISL_2564831	?
Canada/SK-RRPL-131430/2021	EPI_ISL_5843290	?
Canada/SK-RRPL-150529/2021	EPI_ISL_5780588	?
Canada/SK-RRPL-232033/2021	EPI_ISL_7659575	?
Canada/QC-L00367234001/2021	EPI_ISL_3459166	?
Canada/QC-L00380082001/2021	EPI_ISL_7704359	?
Canada/Qc-LSPQ-L00233835/2020	EPI_ISL_536041	?
Canada/BC-BCCDC-101397/2021	EPI_ISL_3489847	?
Canada/BC-BCCDC-101635/2021	EPI_ISL_3482632	?
Canada/BC-BCCDC-102802/2021	EPI_ISL_3490568	?
Canada/BC-BCCDC-244455/2021	EPI_ISL_6753269	?
hCoV-19/HongKong/VM21044713-1/2021	EPI_ISL_6590782	?
hCoV-19/SouthAfrica/NICD-N21600-DX03569/2021	EPI_ISL_6647956	?
hCoV-19/SouthAfrica/CERI-KRISP-K032340/2021	EPI_ISL_6825392	?
hCoV-19/SouthAfrica/NICD-N21438/2021	EPI_ISL_6913992	?
hCoV-19/Botswana/R59B21_BHP_AAC44141/2021	EPI_ISL_8097237	?
hCoV-19/England/PHEC-3Y06BY33/2021	EPI_ISL_8447594	?
hCoV-19/Canada/BC-BCCDC-346765/2022	EPI_ISL_10235329	?
hCoV-19/Canada/SK-RRPL-364983/2021	EPI_ISL_10645757	?
hCoV-19/Canada/MB-CPL-266566/2021	EPI_ISL_11167518	?
hCoV-19/Canada/QC-L00414321001/2021	EPI_ISL_11261276	?
hCoV-19/Canada/NS-NML-382307/2021	EPI_ISL_11623450	?
hCoV-19/Canada/MB-NML-2572/2020	EPI_ISL_1258036	?
hCoV-19/England/210291721/2021	EPI_ISL_1296548	?
hCoV-19/Canada/Qc-L00292025/2020	EPI_ISL_1365751	?
hCoV-19/Canada/Qc-CHUM-2009903631A/2020	EPI_ISL_1365789	?
hCoV-19/Canada/ON-KHS-21-04636-v1/2021	EPI_ISL_13670023	?
hCoV-19/Switzerland/VD-CHUV-GEN5291/2020	EPI_ISL_14816245	?
hCoV-19/Canada/PE-NML-804/2020	EPI_ISL_15184919	?
hCoV-19/Canada/MB-NML-17753/2021	EPI_ISL_1594137	?
hCoV-19/USA/TX-DSHS-5542/2021	EPI_ISL_1660548	?
hCoV-19/England/MILK-1531851/2021	EPI_ISL_1829729	?
hCoV-19/Canada/BC-BCCDC-37579/2021	EPI_ISL_2499727	?
hCoV-19/Canada/BC-BCCDC-39584/2021	EPI_ISL_2525431	?
hCoV-19/Canada/QC-1nDWVQ-MX20345430/2020	EPI_ISL_2970179	?
hCoV-19/Canada/MB-NML-94851/2021	EPI_ISL_3356851	?
hCoV-19/Canada/QC-L00359834001/2021	EPI_ISL_3458967	?
hCoV-19/USA/CA-CDPH-500000112/2021	EPI_ISL_3695274	?
hCoV-19/USA/NY-PRL-2021_0512_00B08/2021	EPI_ISL_3933254	?
hCoV-19/Canada/AB-ABPHL-27968/2021	EPI_ISL_4053375	?
hCoV-19/Canada/AB-ABPHL-28312/2021	EPI_ISL_4053716	?
hCoV-19/Shanghai/SH0025/2020	EPI_ISL_416334	?
hCoV-19/Guangzhou/GZMU0019/2020	EPI_ISL_429080	?
hCoV-19/Canada/NB-221/2020	EPI_ISL_479637	?
hCoV-19/England/BRIS-130B23/2020	EPI_ISL_492515	?
hCoV-19/SouthAfrica/KRISP-K001112/2020	EPI_ISL_509358	?
hCoV-19/SouthAfrica/KRISP-K002231/2020	EPI_ISL_515627	?
hCoV-19/USA/TX-HMH-6208/2020	EPI_ISL_547313	?
hCoV-19/Canada/BC-BCCDC-213651/2021	EPI_ISL_5680470	?
hCoV-19/Canada/SK-RRPL-238359/2021	EPI_ISL_6480565	?
hCoV-19/England/CAMC-B3241D/2020	EPI_ISL_659415	?
hCoV-19/SouthAfrica/CERI-KRISP-K032366/2021	EPI_ISL_6795847	?
hCoV-19/Canada/ON-NML-249359/2021	EPI_ISL_6826713	?
hCoV-19/England/MILK-2B9788D/2021	EPI_ISL_6834479	?
hCoV-19/SouthAfrica/NICD-N21262/2021	EPI_ISL_6900143	?
hCoV-19/Canada/AB-ABPHL-43075/2021	EPI_ISL_7123680	?
hCoV-19/Canada/ON-PHL-21-41647/2021	EPI_ISL_7259701	?
hCoV-19/Canada/ON-PHL-21-41649/2021	EPI_ISL_7259716	?
hCoV-19/SouthAfrica/NICD-N21398/2021	EPI_ISL_7456440	?
hCoV-19/Canada/ON-PHL-21-42542/2021	EPI_ISL_7464493	?
hCoV-19/England/PHEC-3U0A6U01/2021	EPI_ISL_7563603	?
hCoV-19/SouthAfrica/NICD-N22404/2021	EPI_ISL_7605591	?
hCoV-19/England/ALDP-2D7017E/2021	EPI_ISL_7631506	?
hCoV-19/SouthAfrica/CERI-KRISP-K033196/2021	EPI_ISL_7715356	?
hCoV-19/Canada/BC-BCCDC-267246/2021	EPI_ISL_7739484	?
hCoV-19/Canada/ON-PHL-21-43467/2021	EPI_ISL_7871654	?
hCoV-19/SouthAfrica/CERI-KRISP-K033483/2021	EPI_ISL_8128463	?
hCoV-19/Canada/BC-BCCDC-274656/2021	EPI_ISL_8369235	?
hCoV-19/Canada/BC-BCCDC-272379/2021	EPI_ISL_8369403	?
hCoV-19/Canada/AB-79547/2020	EPI_ISL_854570	?
hCoV-19/Canada/SK-RRPL-238488/2020	EPI_ISL_8615792	?
hCoV-19/SouthAfrica/NICD-N23839/2021	EPI_ISL_8799057	?
hCoV-19/Canada/AB-ABPHL-40956/2021	EPI_ISL_8845529	?
hCoV-19/England/MILK-3251BB9/2022	EPI_ISL_8899193	?
hCoV-19/Canada/QC-HSE-0084062222/2020	EPI_ISL_890125	?
hCoV-19/Canada/BC-BCCDC-307991/2021	EPI_ISL_8910078	?
hCoV-19/Canada/AB-ABPHL-50284/2021	EPI_ISL_9197859	?
hCoV-19/Canada/AB-ABPHL-50363/2022	EPI_ISL_9501278	?
hCoV-19/SouthAfrica/NICD-N28994/2021	EPI_ISL_9679276	?
hCoV-19/Canada/BC-BCCDC-3559/2020	EPI_ISL_968256	?
hCoV-19/Canada/BC-BCCDC-3934/2020	EPI_ISL_968423	?
hCoV-19/Canada/BC-BCCDC-4403/2020	EPI_ISL_968952	?
hCoV-19/Canada/BC-BCCDC-5051/2020	EPI_ISL_970308	?
hCoV-19/Canada/SK-RRPL-339333/2021	EPI_ISL_9711024	?
hCoV-19/France/NAQ-HCL022019087601/2021	EPI_ISL_9796145	?
hCoV-19/France/HDF-IPP04947/2022	EPI_ISL_9879436	?
hCoV-19/Canada/ON-PHL-22-06790-v2/2022	EPI_ISL_9917436	?
AUS/VIC14041/2020	?	MW155424
AUS/VIC14195/2020	?	MW185598
AUS/VIC4882/2020	EPI_ISL_519264	MT972848
AUS/VIC7178/2020	?	MW154392
AUS/VIC9823/2020	?	MW155485
BGD/ideSHi-TR-1310/2021	EPI_ISL_1587443	MZ413840
BRA/BA-NXBS2378GENOV701310434539/2021	EPI_ISL_4422674	ON576383
England/ALDP-1536B53/2021	EPI_ISL_1829986	OU262336
England/ALDP-9E6DD3/2020	EPI_ISL_580310	OA989944
England/CAMC-1263D4B/2021	EPI_ISL_1033660	OD984440
England/CAMC-13DD15E/2021	EPI_ISL_1327189	OU066343
England/CAMC-142E041/2021	EPI_ISL_1454176	OU208246
England/CAMC-A3F9F4/2020	EPI_ISL_609540	OB985474
England/LIVE-E02343/2021	EPI_ISL_1177921	OX603074
England/MILK-129C013/2021	EPI_ISL_1072469	OU012296
England/MILK-15E8D96/2021	EPI_ISL_2437710	OU306423
England/MILK-6A759D/2020	EPI_ISL_551741	OA973844
England/MILK-9A6865/2020	EPI_ISL_550135	OA972584
England/PHEC-151078/2020	EPI_ISL_766562	OX905358
England/PLYM-187AA17/2021	EPI_ISL_2908924	OU414974
England/QEUH-15ABD17/2021	EPI_ISL_2348276	OU288015
England/QEUH-BCCDA4/2020	EPI_ISL_704293	OD903917
FRA/IHUCOVID-012963_Nova1/2020	?	ON298775
IND/GBRC718a/2021	EPI_ISL_2391499	MZ359879
MEX/AGU-43/2020	?	OK435194
NGA/CV1046/2021	?	OQ050261
OU076207	?	OU076207
OU096247	?	OU096247
OU199791	?	OU199791
OU323749	?	OU323749
OU392817	EPI_ISL_2434526	OU392817
OU568971	?	OU568971
OV238505	?	OV238505
OV539993	?	OV539993
OY293752	?	OY293752
OY359396	?	OY359396
OY363260	?	OY363260
OY366364	?	OY366364
OY976049	?	OY976049
PHL/210316-2/2021	?	OL989074
Scotland/CVR1391/2020	?	OX605111
SouthAfrica/NHLS-UCT-GS-8918/2020	EPI_ISL_2140684	OM739480
Switzerland/BE-ETHZ-410105/2020	EPI_ISL_737466	OD998823
Switzerland/BE-IFIK-1558-4699/2021	EPI_ISL_3045312	OU571621
Switzerland/GE-HUG-34629144/2021	EPI_ISL_2885495	OU572474
USA/CA-CDC-ASC210159454/2021	EPI_ISL_3323546	MZ740661
USA/CA-CDC-FG-019454/2021	EPI_ISL_1614114	MW933462
USA/CA-CDC-QDX23355167/2021	EPI_ISL_1582093	MW963441
USA/CA-CDC-STM-000012464/2021	EPI_ISL_4962400	OK440009
USA/CA-CDPH-500008828/2021	EPI_ISL_5639332	OK663372
USA/CA-CZB-27496/2021	?	MW923364
USA/CA-UCSC-503/2020	EPI_ISL_2031845	OU357159
USA/CO-CDC-MMB08874157/2021	EPI_ISL_2647279	MZ432043
USA/CO-CDC-MMB13951253/2022	EPI_ISL_9952282	OM680184
USA/CO-CDPHE-2100149226/2020	EPI_ISL_11860996	ON227934
USA/FL-BPHL-1805/2021	EPI_ISL_1531091	MW894206
USA/FL-BPHL-3732/2021	EPI_ISL_2442795	MZ398613
USA/FL-CDC-ASC210113767/2021	EPI_ISL_4364641	OK295946
USA/FL-CDC-ASC210158379/2021	EPI_ISL_3430414	MZ742341
USA/FL-CDC-STM-000015549/2021	EPI_ISL_1268076	MW777509
USA/FL-CDC-STM-000059956/2021	EPI_ISL_1991561	MZ154416
USA/FL-CDC-STM-000068640/2021	EPI_ISL_4347548	OK194300
USA/FL-CDC-STM-000716130/2021	EPI_ISL_6487356	OL524951
USA/FL-CDC-STM-000724020/2021	EPI_ISL_6478362	OL536267
USA/IL-RIPHL_12234_Y/2020	?	OR402429
USA/IN-CDC-STM-000020244/2021	EPI_ISL_1269950	MW778773
USA/MA-CDC-QDX26380793/2021	EPI_ISL_3305175	MZ727738
USA/MD-CDC-LC0023189/2021	EPI_ISL_1422014	MW844773
USA/MD-MDH-0209/2020	EPI_ISL_560822	MW049013
USA/MN-CDC-ASC210069370/2021	EPI_ISL_1922979	MZ131050
USA/MN-CDC-STM-000039965/2021	EPI_ISL_1511863	MW890973
USA/NC-CDC-LC0007290/2021	EPI_ISL_1021294	MW636846
USA/NJ-CDC-ASC210106943/2021	EPI_ISL_2528014	MZ386179
USA/NJ-CDC-LC0036099/2021	EPI_ISL_1609401	MZ000614
USA/NJ-CDC-STM-000705678/2021	EPI_ISL_6481064	OL532066
USA/NY-CDC-FG-046754/2021	EPI_ISL_3303700	MZ727155
USA/NY-PRL-210309_01F05/2021	EPI_ISL_1258843	PP606567
USA/NY-PRL-210310_00A10/2021	EPI_ISL_1258524	PP606678
USA/NY-PRL-210405_00G23/2021	EPI_ISL_1543099	PP610155
USA/SC-CDC-LC0192178/2021	EPI_ISL_3754927	MZ946079
USA/TG371263/2020	EPI_ISL_694523	ON456821
USA/TX-CDC-ASC210247729/2021	EPI_ISL_3815575	MZ978654
USA/UT-UPHL-2104363775/2021	EPI_ISL_2081766	MZ189578
USA/UT-UPHL-210806971385/2021	?	MZ835239
USA/UW20111840186/2020	?	OM898106
USA/UW21040143381/2021	EPI_ISL_10515196	OM897930
USA/WA-CDC-LC0055990/2021	EPI_ISL_2046159	MZ181404
USA/WA-S10285/2021	EPI_ISL_3372672	MZ770099
USA/WA-S684/2020	EPI_ISL_449854	MT641568
USA/WA-UW-1297/2020	EPI_ISL_422989	MT293184
